customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,address,postcode,state,country,property_valuation,size,margin,age,age_group,bigger_age_group
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,-1,No,3.0,413 Mayer Street,2046,NSW,Australia,9,3,876.1233333333333,21.0,"(19.0, 29.0]","(10.0, 30.0]"
60,Nadiya,Champerlen,Female,18,1970-02-04,,Manufacturing,Mass Customer,N,á,No,10.0,39 3rd Drive,2026,NSW,Australia,10,2,323.61,51.0,"(49.0, 59.0]","(50.0, 70.0]"
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,-1,No,13.0,44516 Katie Parkway,2765,NSW,Australia,7,7,709.0400000000001,61.0,"(59.0, 69.0]","(50.0, 70.0]"
62,Sorcha,Roggers,Female,38,1979-07-06,,IT,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,Yes,22.0,41 Schurz Center,2749,NSW,Australia,8,6,820.1466666666665,41.0,"(39.0, 49.0]","(30.0, 50.0]"
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,00ËÆ$-,Yes,16.0,68150 Boyd Road,2745,NSW,Australia,9,3,730.0166666666668,55.0,"(49.0, 59.0]","(50.0, 70.0]"
64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,ï¼ï¼ï¼,No,4.0,11474 Westend Hill,3752,VIC,Australia,8,5,109.33599999999994,42.0,"(39.0, 49.0]","(30.0, 50.0]"
65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,1/0,Yes,15.0,308 Jana Crossing,2153,NSW,Australia,10,6,740.2683333333333,44.0,"(39.0, 49.0]","(30.0, 50.0]"
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,ï½ï½¨(Â´âï½â©,No,1.0,163 Straubel Trail,2217,NSW,Australia,10,5,909.8400000000001,19.0,"(10.0, 19.0]","(10.0, 30.0]"
67,Vernon,,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18.0,68294 Clarendon Crossing,2230,NSW,Australia,10,5,240.65799999999996,60.0,"(59.0, 69.0]","(50.0, 70.0]"
68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,9.0,486 Mariners Cove Plaza,3046,VIC,Australia,7,3,1280.8533333333332,46.0,"(39.0, 49.0]","(30.0, 50.0]"
69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,,Mass Customer,N,0/0,No,6.0,0322 Dryden Court,3183,VIC,Australia,7,6,882.4583333333334,51.0,"(49.0, 59.0]","(50.0, 70.0]"
70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,ð,No,8.0,9 Bonner Road,2070,NSW,Australia,12,5,547.38,28.0,"(19.0, 29.0]","(10.0, 30.0]"
71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,ï½ï½¨(Â´âï½â©,Yes,12.0,07041 Briar Crest Lane,2213,NSW,Australia,10,1,155.6500000000001,36.0,"(29.0, 39.0]","(30.0, 50.0]"
72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,1,Yes,16.0,29466 Hanson Pass,4208,QLD,Australia,6,5,639.9449999999999,49.0,"(39.0, 49.0]","(30.0, 50.0]"
73,Minette,Worters,Female,16,1960-05-27,Teacher,,Affluent Customer,N,âââ,Yes,5.0,0212 Forest Run Trail,2774,NSW,Australia,8,6,386.08500000000004,60.0,"(59.0, 69.0]","(50.0, 70.0]"
74,Pansy,Kiddie,Female,94,1969-06-19,,,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,6.0,33055 Menomonie Parkway,4133,QLD,Australia,8,3,322.17333333333335,51.0,"(49.0, 59.0]","(50.0, 70.0]"
75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,19.0,4763 Merchant Avenue,2756,NSW,Australia,8,8,622.4925,42.0,"(39.0, 49.0]","(30.0, 50.0]"
76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,â¢,Yes,18.0,439 Ridgeway Court,4213,QLD,Australia,9,8,358.52,43.0,"(39.0, 49.0]","(30.0, 50.0]"
77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,1;DROP TABLE users,No,7.0,2 Clyde Gallagher Lane,4170,QLD,Australia,5,3,552.5266666666668,31.0,"(29.0, 39.0]","(30.0, 50.0]"
78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,-100,No,8.0,97455 Loeprich Lane,2153,NSW,Australia,9,2,41.129999999999995,36.0,"(29.0, 39.0]","(30.0, 50.0]"
79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18.0,9527 Ridgeway Street,2073,NSW,Australia,10,6,432.91,52.0,"(49.0, 59.0]","(50.0, 70.0]"
80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,nil,No,13.0,7 Jackson Point,3561,VIC,Australia,1,10,598.886,42.0,"(39.0, 49.0]","(30.0, 50.0]"
81,Bee,Blazewicz,Female,58,1986-09-04,,Health,High Net Worth,N,â¢,No,13.0,74 Anniversary Junction,2330,NSW,Australia,6,4,812.255,34.0,"(29.0, 39.0]","(30.0, 50.0]"
82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,ç°ä¸­ããã«ããã¦ä¸ãã,No,19.0,2083 Spaight Court,3977,VIC,Australia,8,5,584.874,55.0,"(49.0, 59.0]","(50.0, 70.0]"
83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,ðµ ð ð ð,Yes,18.0,2796 Caliangt Circle,2204,NSW,Australia,12,6,299.7,54.0,"(49.0, 59.0]","(50.0, 70.0]"
84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,14.0,96061 Ludington Place,2086,NSW,Australia,11,7,327.8885714285715,63.0,"(59.0, 69.0]","(50.0, 70.0]"
85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,,Mass Customer,N,NIL,No,8.0,5037 Merchant Crossing,2226,NSW,Australia,11,6,93.89499999999998,62.0,"(59.0, 69.0]","(50.0, 70.0]"
86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,1,Yes,7.0,289 Haas Street,2075,NSW,Australia,11,9,262.2322222222222,32.0,"(29.0, 39.0]","(30.0, 50.0]"
87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,N,"__ï¾(,_,*)",No,8.0,4423 Bartelt Parkway,2038,NSW,Australia,12,9,415.64,46.0,"(39.0, 49.0]","(30.0, 50.0]"
88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Ù¡Ù¢Ù£,Yes,7.0,5 Grim Center,2069,NSW,Australia,12,6,422.3883333333334,55.0,"(49.0, 59.0]","(50.0, 70.0]"
89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,Yes,14.0,73042 Roth Crossing,2100,NSW,Australia,11,9,642.1833333333333,54.0,"(49.0, 59.0]","(50.0, 70.0]"
90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,!@#$%^&*(),No,11.0,171 Fordem Junction,2233,NSW,Australia,10,7,427.2471428571429,36.0,"(29.0, 39.0]","(30.0, 50.0]"
91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,17.0,2640 Manley Point,2166,NSW,Australia,9,8,655.3012500000001,66.0,"(59.0, 69.0]","(50.0, 70.0]"
92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,âââ,No,12.0,3 Hintze Pass,3133,VIC,Australia,10,3,989.1466666666665,40.0,"(39.0, 49.0]","(30.0, 50.0]"
93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,N,0/0,Yes,10.0,2 Mcbride Road,3070,VIC,Australia,10,3,992.1366666666664,44.0,"(39.0, 49.0]","(30.0, 50.0]"
94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,21.0,67234 Transport Hill,2777,NSW,Australia,7,7,700.3157142857143,46.0,"(39.0, 49.0]","(30.0, 50.0]"
95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",Yes,8.0,72 Dorton Crossing,3133,VIC,Australia,10,4,762.7024999999999,60.0,"(59.0, 69.0]","(50.0, 70.0]"
96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,åè£½æ¼¢èª,No,15.0,6 Heffernan Center,2125,NSW,Australia,11,4,378.4166666666667,52.0,"(49.0, 59.0]","(50.0, 70.0]"
97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,10.0,6088 Roxbury Hill,2766,NSW,Australia,8,8,613.9012499999999,41.0,"(39.0, 49.0]","(30.0, 50.0]"
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,,No,7.0,105 Shelley Alley,2209,NSW,Australia,10,5,386.112,65.0,"(59.0, 69.0]","(50.0, 70.0]"
99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,3.0,079 Merry Park,2160,NSW,Australia,9,9,506.4055555555555,22.0,"(19.0, 29.0]","(10.0, 30.0]"
100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,4.0,8722 Summit Alley,2065,NSW,Australia,12,2,438.7,52.0,"(49.0, 59.0]","(50.0, 70.0]"
101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,<img src=x onerror=alert('hi') />,No,11.0,9554 Artisan Pass,2150,NSW,Australia,10,4,647.4725,45.0,"(39.0, 49.0]","(30.0, 50.0]"
102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,No,16.0,55850 Butterfield Road,2168,NSW,Australia,9,7,369.5728571428572,64.0,"(59.0, 69.0]","(50.0, 70.0]"
