customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
3546,Hally,Pollie,Female,91,1983-09-29,GIS Technical Architect,Manufacturing,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,Yes,9.0
3547,Ganny,Dwerryhouse,Male,19,1975-05-06,Senior Financial Analyst,Financial Services,Affluent Customer,N,2018-02-01 00:00:00,No,8.0
3548,Dalli,Seden,Male,65,1958-08-02,,,Affluent Customer,N,ðµ ð ð ð,No,12.0
3549,Jodee,Macewan,Female,0,1966-02-24,Sales Representative,Retail,Mass Customer,N,â¦testâ§,No,7.0
3550,Daisey,Britto,Female,50,1988-11-27,Environmental Tech,Retail,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,16.0
3551,Zed,Douris,Male,37,1962-05-10,Pharmacist,Health,Mass Customer,N,ð©ð½,Yes,8.0
3552,Ebeneser,Lowde,Male,33,1992-09-07,Internal Auditor,Retail,Affluent Customer,N,á,Yes,9.0
3553,Dietrich,Geggie,Male,97,1974-12-29,Graphic Designer,Health,Mass Customer,N,âªâªtestâª,No,10.0
3554,Briggs,Mower,Male,34,1978-04-06,GIS Technical Architect,IT,Mass Customer,N,ì¸ëë°í ë¥´,Yes,16.0
3555,Latashia,,Female,96,1976-02-26,Programmer Analyst II,Manufacturing,Mass Customer,N,â«testâ«,No,21.0
3556,Larina,Gheeorghie,Female,38,1997-07-05,Senior Developer,Manufacturing,High Net Worth,N,"<>?:""{}|_+",No,3.0
3557,Tisha,Gibbings,Female,79,1978-05-12,,Health,Affluent Customer,N,<img src=x onerror=alert('hi') />,No,18.0
3558,Torey,Sarney,Male,16,1954-09-05,,,High Net Worth,N,<img src=x onerror=alert('hi') />,Yes,7.0
3559,Farra,Bails,Female,80,1985-02-19,Assistant Media Planner,Entertainment,High Net Worth,N,0/0,Yes,17.0
3560,Gav,Bonin,Male,98,1980-09-01,Structural Analysis Engineer,Retail,Mass Customer,N,testâ testâ«,Yes,7.0
3561,Emelda,Allbones,Female,15,1968-11-16,Help Desk Operator,Financial Services,Mass Customer,N,!@#$%^&*(),Yes,5.0
3562,Martynne,Bullivant,Female,76,1973-01-02,Recruiting Manager,,Affluent Customer,N,,No,10.0
3563,De,Leyband,Female,70,1990-03-12,,Financial Services,Affluent Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,No,10.0
3564,Sandy,Olford,Male,43,1972-05-15,Programmer Analyst IV,,High Net Worth,N,âªâªtestâª,Yes,18.0
3565,Charyl,Pottiphar,,14,,Structural Engineer,IT,High Net Worth,N,,Yes,
3566,Bram,Pheasant,Male,96,1976-11-02,Social Worker,Health,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,10.0
3567,Eileen,Ilchenko,Female,17,1980-09-14,Nurse,Financial Services,Affluent Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,14.0
3568,Berthe,Griniov,Female,13,1955-09-15,Nurse,Retail,Affluent Customer,N,1'; DROP TABLE users--,No,5.0
3569,Janel,Daice,Female,24,1973-05-18,Senior Editor,,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,12.0
3570,Mordy,Hedin,Male,13,1962-01-31,,Entertainment,Mass Customer,N,1/0,No,7.0
3571,Othilia,Metcalf,Female,9,1976-06-09,Senior Sales Associate,Property,Mass Customer,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,Yes,3.0
3572,Willis,Tilston,Male,54,1986-03-21,Sales Representative,Retail,Affluent Customer,N,2018-02-01 00:00:00,Yes,2.0
3573,Mab,Dwyer,Female,68,1996-10-16,Accounting Assistant I,Manufacturing,Mass Customer,N,-100,Yes,3.0
3574,Eileen,Eland,Female,33,1991-02-05,Clinical Specialist,Health,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,6.0
3575,Kandace,Desesquelle,Female,82,1973-11-06,Administrative Assistant I,IT,Affluent Customer,N,ðµ ð ð ð,Yes,13.0
3576,Rochette,Ebbens,Female,10,1969-09-19,Account Coordinator,,Mass Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,No,11.0
3577,Fowler,Scotsbrook,Male,29,1964-02-18,Staff Scientist,Retail,High Net Worth,N,-100,No,10.0
3578,Dorella,Sineath,Female,57,1956-10-27,Staff Accountant IV,Property,Mass Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,12.0
3579,Rachel,Somes,Female,32,1987-09-15,Software Test Engineer III,Health,High Net Worth,N,ì¸ëë°í ë¥´,No,20.0
3580,Roby,Samson,Female,61,1972-04-24,Occupational Therapist,Health,Mass Customer,N,,No,10.0
3581,Lindsy,Ygo,Female,38,1957-07-10,,,Mass Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",Yes,6.0
3582,Beryle,Qusklay,Female,66,1961-12-11,Media Manager II,Property,Mass Customer,N,ð¾ ð ð ð ð ð ð ð,No,17.0
3583,Josselyn,Mathey,Female,71,1965-05-27,Assistant Professor,Retail,Affluent Customer,N,â°â´âµâââ,No,5.0
3584,Adler,Teale,Male,95,1962-01-14,,Health,Mass Customer,N,"__ï¾(,_,*)",No,10.0
3585,Concordia,Lunbech,Female,41,1962-07-28,,Financial Services,High Net Worth,N,"""'",Yes,20.0
3586,Abby,Brownstein,Female,79,1979-02-05,Registered Nurse,Health,Affluent Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,10.0
3587,Ines,Galfour,Female,85,1997-09-24,,,Affluent Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,No,2.0
3588,Henrie,Beadman,Female,15,1961-06-04,Web Developer III,Health,Affluent Customer,N,,Yes,18.0
3589,Nalani,Dummer,Female,73,1962-02-19,Computer Systems Analyst II,Health,High Net Worth,N,â¡,No,17.0
3590,Carolan,Velez,Female,32,1978-04-16,,Manufacturing,Mass Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,19.0
3591,Dwight,Kinsey,Male,15,1978-10-28,Accountant III,Financial Services,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,10.0
3592,Pall,MacCart,Male,72,1954-04-27,Junior Executive,,Mass Customer,N,á ,No,12.0
3593,Carry,Abercromby,Female,71,1996-04-10,Legal Assistant,Retail,Mass Customer,N,testâ testâ«,No,5.0
3594,Gustavo,Juschka,Male,45,1986-01-04,Marketing Assistant,Manufacturing,Mass Customer,N,nil,No,18.0
3595,Timi,Huson,Female,81,1975-12-06,Software Consultant,Retail,Mass Customer,N,,No,6.0
3596,Christi,Gilluley,Female,57,1977-12-25,Executive Secretary,Retail,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,20.0
3597,Giorgi,,Male,71,1954-06-16,Analog Circuit Design manager,Property,Affluent Customer,N,',Yes,16.0
3598,Penny,McKirdy,Male,72,1994-12-17,Computer Systems Analyst III,Manufacturing,Affluent Customer,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,Yes,5.0
3599,Lane,Maguire,Male,11,1956-02-27,Physical Therapy Assistant,,High Net Worth,N,100,Yes,6.0
3600,Godart,Gooderick,Male,88,1962-05-17,Staff Accountant II,,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,16.0
3601,Fanya,Gethyn,Female,85,1975-12-23,Junior Executive,IT,Mass Customer,N,nil,No,18.0
3602,Alicea,Scamwell,Female,23,1988-11-27,Account Coordinator,Health,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,No,12.0
3603,Cale,Yaneev,Male,90,1954-09-27,Sales Representative,Retail,Mass Customer,N,2018-02-01 00:00:00,Yes,14.0
3604,Findlay,Lubman,Male,3,1971-04-09,VP Quality Control,Health,High Net Worth,N,â¤ï¸ ð ð ð ð ð ð ð ð ð ð ð ð ð ð,Yes,9.0
3605,Andy,Risely,Male,54,1994-01-28,Internal Auditor,,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,6.0
3606,Jamima,Wainscot,Female,52,1957-02-09,Graphic Designer,,High Net Worth,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,15.0
3607,Troy,Blaydes,Male,99,2001-05-22,Clinical Specialist,Health,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,1.0
3608,Conway,Surgen,Male,86,1973-05-17,Nurse Practicioner,Argiculture,High Net Worth,N,<script>alert('hi')</script>,No,8.0
3609,Chicky,Butterfield,Male,69,1997-09-02,Marketing Manager,Manufacturing,Mass Customer,N,0/0,No,4.0
3610,Erl,Markel,Male,1,1987-03-29,Graphic Designer,Financial Services,High Net Worth,N,â,Yes,16.0
3611,Uriah,Chantree,Male,20,1970-04-10,Statistician II,,Affluent Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,10.0
3612,Normand,Matous,Male,27,1979-11-27,,IT,High Net Worth,N,ç°ä¸­ããã«ããã¦ä¸ãã,No,15.0
3613,Fairfax,Pummery,Male,27,1972-04-21,Budget/Accounting Analyst II,Health,Mass Customer,N,ÌÌºÍÌ¹Ì¯ÍTÌ±Ì¤ÍÌ¥ÍÍhÍÌ²eÍÍÌ¼ÌÌÌ¼Ì£Í ÍÌÌ±Ì ÍÍÍNÍ ÍeÌÌ±zÌÌÌÌºÍpÌ¤ÌºÌ¹ÍÌ¯ÍeÍÌ Ì»Ì rÌ¨Ì¤ÍÌºÌÍÌÌdÍÌ ÌÌ­Ì¬ÌiÌ¦ÍÌ©ÍÍÌ¤aÌ ÌÌ¬ÍÌnÍÍ Ì»ÌÌ°ÍÍhÌµÍiÌ³ÌvÌ¢ÍeÍÌ­Í-ÒÌ­Ì©Ì¼ÍmÌ¤Ì­Ì«iÍÍÌÌ¦nÌÍdÌ£Ì ÍÌ¯Ì²ÍoÌ¨ÌÌ¯Ì°Ì²,Yes,9.0
3614,Berkie,Gimber,Male,59,1961-06-23,Environmental Specialist,Retail,Affluent Customer,N,,Yes,18.0
3615,Junia,Napton,Female,63,1978-07-09,Safety Technician II,IT,Mass Customer,N,0/0,Yes,8.0
3616,Vale,Dagnan,Male,42,2001-04-02,Product Engineer,Property,High Net Worth,N,á ,No,2.0
3617,Jessa,Milnthorpe,Female,11,1990-05-06,Structural Analysis Engineer,Manufacturing,Mass Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,Yes,3.0
3618,Evyn,Rouby,Male,2,1966-04-28,Statistician IV,Retail,Affluent Customer,N,âââ,Yes,19.0
3619,Myranda,Cridland,Female,18,1996-02-17,Administrative Assistant IV,,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,Yes,1.0
3620,Gerry,Ackhurst,Male,21,1991-07-30,Computer Systems Analyst II,Retail,Mass Customer,N,é¨è½æ ¼,No,5.0
3621,Umeko,Hearfield,Female,13,1975-01-16,Developer IV,Health,High Net Worth,N,Ã¥ÃâÆÂ©ËâËÂ¬â¦Ã¦,No,15.0
3622,Anetta,Brosenius,Female,84,1983-09-02,Compensation Analyst,Financial Services,Mass Customer,N,1,No,2.0
3623,Oren,Barwack,Male,56,1984-11-25,Senior Quality Engineer,Manufacturing,Affluent Customer,N,â«testâ«,Yes,15.0
3624,Lenka,,Female,54,1984-10-16,Cost Accountant,Financial Services,Mass Customer,N,-1,Yes,7.0
3625,Cammie,Rubinfeld,Female,24,1953-11-30,VP Marketing,Manufacturing,High Net Worth,N,-1,Yes,18.0
3626,Cora,Hince,Female,86,1978-09-02,Senior Cost Accountant,Financial Services,Mass Customer,N,testâ testâ«,Yes,12.0
3627,Loren,Pischof,Male,92,1961-08-12,Teacher,Health,High Net Worth,N,,Yes,14.0
3628,Sharron,Gaynes,Female,47,1974-10-17,Financial Advisor,Financial Services,Mass Customer,N,â©testâ©,Yes,14.0
3629,Vale,Starcks,Female,17,1976-10-29,Editor,Health,High Net Worth,N,nil,No,22.0
3630,Jeni,Heymes,Female,16,1978-11-15,Tax Accountant,Property,Affluent Customer,N,",./;'[]\-=",Yes,8.0
3631,Mignonne,Barwood,Female,76,1962-07-01,Project Manager,IT,High Net Worth,N,ð¾ ð ð ð ð ð ð ð§,Yes,16.0
3632,Elena,Sandys,Female,82,1990-03-27,Teacher,,Mass Customer,N,Ù¡Ù¢Ù£,No,9.0
3633,Donavon,Ainsby,Male,32,1983-04-18,Biostatistician III,Health,Mass Customer,N,,No,5.0
3634,Clemence,Kornas,Female,35,1963-06-01,Speech Pathologist,,High Net Worth,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,15.0
3635,Elset,,Female,51,1977-07-06,VP Marketing,Retail,High Net Worth,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,No,9.0
3636,Trudi,Bickerstasse,Female,42,1970-06-24,Director of Sales,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,Yes,18.0
3637,Luigi,Edgeworth,Male,84,1958-01-01,,Manufacturing,Affluent Customer,N,åè£½æ¼¢èª,Yes,11.0
3638,Fifi,Dorrins,Female,73,1996-05-04,Associate Professor,Manufacturing,Mass Customer,N,â¡,No,6.0
3639,Megan,Perrygo,Female,49,1974-01-11,Food Chemist,Health,High Net Worth,N,-0.5,No,15.0
3640,Merralee,Forman,Female,64,1985-04-28,Staff Scientist,,Mass Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,10.0
3641,Wolfie,Hoyes,Male,78,1975-10-02,Civil Engineer,Manufacturing,Affluent Customer,N,á,No,12.0
3642,Ardith,Portigall,Female,39,1962-05-21,,,Affluent Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,Yes,8.0
